Parameter,Prior,Prior Mean,Prior SD,Post. Mean,Post. SD,90% HPD
rho_R,beta,0.7,0.1,0.742,0.063,"[0.631, 0.854]"
phi_pi,normal,1.5,0.25,1.623,0.189,"[1.300, 1.970]"
phi_y,normal,0.2,0.1,0.156,0.072,"[0.037, 0.284]"
kappa_P,gamma,50.0,20.0,63.41,14.82,"[38.910, 89.720]"
kappa_I,gamma,4.0,1.5,5.28,1.14,"[3.270, 7.310]"
rho_A,beta,0.8,0.1,0.853,0.047,"[0.771, 0.938]"
rho_G,beta,0.8,0.1,0.791,0.068,"[0.672, 0.911]"
rho_tau,beta,0.8,0.1,0.874,0.052,"[0.783, 0.967]"
rho_E,beta,0.8,0.1,0.812,0.071,"[0.686, 0.940]"
sigma_A,inv_gamma,0.01,0.05,0.0132,0.0024,"[0.009, 0.017]"
sigma_R,inv_gamma,0.01,0.05,0.0078,0.0013,"[0.006, 0.010]"
sigma_G,inv_gamma,0.01,0.05,0.0215,0.0041,"[0.014, 0.029]"
sigma_tau,inv_gamma,0.01,0.05,0.0183,0.0047,"[0.010, 0.027]"
sigma_E,inv_gamma,0.01,0.05,0.0247,0.0058,"[0.015, 0.035]"
