Configuration,GDP 5yr (%),Emis. 20yr (%),SCC ($/tCO2),Welfare EV (%)
ECS = 2.0C,-0.52,-27.1,32.4,1.21
ECS = 3.0C (baseline),-0.71,-31.6,52.3,1.54
ECS = 4.0C,-0.89,-36.8,78.6,1.92
ECS = 4.5C,-1.04,-39.4,94.2,2.18
d2 = 0.00118 (low damage),-0.71,-31.6,28.7,0.84
d2 = 0.00236 (baseline),-0.71,-31.6,52.3,1.54
d2 = 0.00472 (high damage),-0.71,-31.6,98.4,2.87
theta2 = 2.0 (low abate cost),-0.48,-38.2,52.3,1.92
theta2 = 2.6 (baseline),-0.71,-31.6,52.3,1.54
theta2 = 3.5 (high abate),-1.08,-24.1,52.3,1.12
