year,Temperature (C),Rainfall (mm),PM2.5 (ug/m3),Life Exp. (yr),Poverty Rate (%)
2005,24.81,2012.86,24.8,72.11,17.04
2006,25.22,1744.56,24.53,72.0,17.68
2007,25.05,2055.63,27.65,72.05,16.79
2008,24.55,2218.51,25.47,72.19,16.72
2009,25.18,1889.65,23.2,72.48,17.57
2010,25.28,1929.56,25.79,72.6,18.38
2011,24.43,2056.56,29.24,72.8,18.38
2012,25.0,1905.22,25.28,72.75,14.61
2013,24.88,1992.49,27.21,72.81,13.09
2014,24.98,1814.11,26.67,72.99,11.07
2015,25.45,1862.17,24.19,73.1,9.36
2016,25.37,2065.21,25.28,73.17,7.78
2017,25.15,2232.03,24.07,73.27,6.6
2018,25.16,1978.62,23.35,73.31,5.61
2019,25.99,1766.94,25.89,73.35,4.79
2020,25.7,2101.63,24.48,73.54,6.61
2021,25.23,2080.46,24.57,73.63,5.92
2022,25.02,2499.24,24.91,73.63,5.52
2023,25.53,2101.56,24.71,74.39,5.54
